index,project,unitname,ikkanbangou,kakoukeiretu,tapeNo,length,width,thickness,cut,2ndprocess,machineset,carryout,transmission,transshipment,jyouban,komono,komono + jyoban,deadline,
47,22N1764,BN1,,3P3,7259,9446,1610,9,26,77,10,5,5,5,0,0,0,2024/12/6/23:00,
48,22N1764,BN1,,3P3,7258,9033,2097,10,51,97,10,5,5,5,0,0,0,2024/12/6/23:00,
49,22N1764,BN1,,3P3,7199,4717,2342,20,18,40,10,5,5,5,0,0,0,2024/12/6/23:00,
50,22N1764,BN1,,3P3,7210,8084,1298,18,18,34,10,5,5,5,0,0,0,2024/12/6/23:00,
51,22N1764,BN1,,3P3,7234,4000,1361,15,9,14,10,5,5,5,0,0,0,2024/12/6/23:00,
52,22N1764,BN1,,3P3,7242,4000,1305,12,7,24,10,5,5,5,0,0,0,2024/12/6/23:00,
53,22N1764,BN1,,3P3,7257,4482,1504,11,17,0,10,5,5,5,0,11,11,2024/12/6/23:00,
54,22N1764,BN1,,3P3,7256,6625,1136,11,20,36,10,5,5,5,0,0,0,2024/12/6/23:00,
55,22N1764,BN1,,3P3,7231,2887,1000,16,3,18,10,5,5,5,0,8,8,2024/12/6/23:00,
56,22N1764,BN1,,3P3,7662,6900,880,12,2,9,10,5,5,5,0,0,0,2024/12/6/23:00,
57,22N1764,YB3FJ,,3P3,3244,6044,1960,24,28,45,10,5,5,5,126,0,126,2024/12/7/12:00,
58,22N1764,YB3FJ,,3P3,3245P,9894,2459,15,44,65,10,5,5,5,158,0,158,2024/12/7/12:00,
59,22N1764,YB3FJ,,3P3,3245S,9894,2459,15,44,71,10,5,5,5,155,0,155,2024/12/7/12:00,
60,22N1764,YB3FJ,,3P3,3246,7420,2459,15,32,37,10,5,5,5,91,0,91,2024/12/7/12:00,
61,22N1764,DC11,,3P3,5242,4000,2674,15.5,12,20,10,5,5,5,61,5,66,2024/12/7/23:00,
62,22N1764,DC11,,3P3,6659,4000,1000,16,2,6,10,5,5,5,0,4,4,2024/12/7/23:00,
63,22N1764,DC11,,3P3,6658,4000,1000,20,2,7,10,5,5,5,0,3,3,2024/12/7/23:00,
64,22N1764,DC11,,3P3,1911,14422,3390,25,97,63,10,5,5,5,153,0,153,2024/12/7/23:00,
